Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Eni Live Station],Price [Eni Live Station],In stock [Eni Live Station],Low stock [Eni Live Station],"Modifier - ""Aggiunta""","Modifier - ""Ritiro e Consegna Concessionarie""","Modifier - ""Ritiro e Consegna PRIVATI"""
BOSCH REAR H 230 230MM (OPEL RENAULT),10220,BOSCH REAR H 230 230MM (OPEL RENAULT),Tergicristalli,BOSCH REAR H 230 230MM (OPEL RENAULT),N,,,,,,,0.00,3165143604748,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 251 250MM,10222,BOSCH REAR H 251 250MM,Tergicristalli,BOSCH REAR H 251 250MM,N,,,,,,,0.00,4047025363877,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 261 270MM,10218,BOSCH REAR H 261 270MM,Tergicristalli,BOSCH REAR H 261 270MM,N,,,,,,,0.00,4047025161442,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 281 280MM,10211,BOSCH REAR H 281 280MM,Tergicristalli,BOSCH REAR H 281 280MM,N,,,,,,,0.00,4047024909588,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 282 280MM,10212,BOSCH REAR H 282 280MM,Tergicristalli,BOSCH REAR H 282 280MM,N,,,,,,,0.00,4047025290272,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 283 280MM,10213,BOSCH REAR H 283 280MM,Tergicristalli,BOSCH REAR H 283 280MM,N,,,,,,,0.00,4047025309318,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 290 300MM,10214,BOSCH REAR H 290 300MM,Tergicristalli,BOSCH REAR H 290 300MM,N,,,,,,,0.00,4047025363884,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 300 300MM,10215,BOSCH REAR H 300 300MM,Tergicristalli,BOSCH REAR H 300 300MM,N,,,,,,,0.00,3165143609224,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 308 300MM,10205,BOSCH REAR H 308 300MM,Tergicristalli,BOSCH REAR H 308 300MM,N,,,,,,,0.00,4047025083812,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 310 305MM,10207,BOSCH REAR H 310 305MM,Tergicristalli,BOSCH REAR H 310 305MM,N,,,,,,,0.00,4047025152556,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 330 330MM,10208,BOSCH REAR H 330 330MM,Tergicristalli,BOSCH REAR H 330 330MM,N,,,,,,,0.00,4047024424975,,,Y,Y,15.00,2.000,3.000,N,N,N
BOSCH REAR H 340 340MM,10210,BOSCH REAR H 340 340MM,Tergicristalli,BOSCH REAR H 340 340MM,N,,,,,,,0.00,3165141087437,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 355 350MM,10198,BOSCH REAR H 355 350MM,Tergicristalli,BOSCH REAR H 355 350MM,N,,,,,,,0.00,4047024909595,,,Y,Y,15.00,1.000,3.000,N,N,N
BOSCH REAR H 356 350MM,10199,BOSCH REAR H 356 350MM,Tergicristalli,BOSCH REAR H 356 350MM,N,,,,,,,0.00,4047025152563,,,Y,Y,15.00,1.000,3.000,N,N,N
